id,name,salary_from,salary_to,salary_currency,salary_avg,employer_name,employer_url,experience,employment,schedule,requirement,responsibility,published_at,url
131691586,Программист-разработчик,100000.0,120000.0,RUR,110000.0,НПК Атроник,https://api.hh.ru/employers/4470566,Нет опыта,,,...с системами контроля версий (git). Опыт разработки на одноплатных компьютерах. Опыт использования фреймворка Qt. Опыт разработки под Linux. Знание Python.,"Проектирование и <highlighttext>разработка</highlighttext> новых компонент автоматизированной информационной системы. Работа в текущем проекте, также принимать участие в <highlighttext>разработке</highlighttext> нового). ",2026-04-18T10:07:10+0300,https://hh.ru/vacancy/131691586
132250180,Middle backend developer / Python специалист,,,,,Brandquad,https://api.hh.ru/employers/2131829,От 3 до 6 лет,,,"Общий опыт коммерческой разработки от 3-х лет. Отличные знания Python. Опыт работы с Go. Опыт работы с DRF, Aiohttp...","Развитие системы сбора и подготовки данных (импорты, предварительные расчеты данных). Имплементация ETL, Data пайплайнов. Проектировать и реализовывать REST API для...",2026-04-17T17:44:21+0300,https://hh.ru/vacancy/132250180
130498143,Senior Python developer (Tantor XData),,,,,Группа компаний Астра,https://api.hh.ru/employers/5060211,Более 6 лет,,,Опыт работы с PostgreSQL в роли разработчика приложений. Понимание плюсов и минусов ORM. Написание unit/integration тестов (pytest). ,...в <highlighttext>разработке</highlighttext> технического дизайна и архитектуры. Взаимодействие с кросс-функциональными командами. <highlighttext>Разработка</highlighttext> и поддержка unit/integration тестов. Повышать стандарты <highlighttext>разработки</highlighttext>...,2026-04-17T16:40:19+0300,https://hh.ru/vacancy/130498143
129798611,Senior/Lead Python-разработчик,,,,,KTS,https://api.hh.ru/employers/3202190,Более 6 лет,,,"Имеешь от 5 лет коммерческого опыта с Python, asyncio и aiohttp. Уверенно работаешь с SQLAlchemy и, при необходимости, пишешь сырые...",Автоматизируем сложные бизнес-процессы. Запускаем высоконагруженные веб-сервисы. Развиваем собственную школу <highlighttext>разработки</highlighttext>.,2026-04-17T20:26:38+0300,https://hh.ru/vacancy/129798611
131953738,Ведущий разработчик (Python),,,,,Мультифактор,https://api.hh.ru/employers/5042196,От 3 до 6 лет,,,"Практический опыт использования Docker для разработки, тестирования и развёртывания сервисов. Отличное знание Python, опыт промышленной разработки. Знание языков программирования С...","...проектирование и <highlighttext>разработка</highlighttext> механизмов доверия между доменами, включая Forest Trusts и External Trusts. Интеграция с Windows-инфраструктурой: <highlighttext>разработка</highlighttext> сервисов и...",2026-04-17T13:47:27+0300,https://hh.ru/vacancy/131953738
132238152,Python Backend разработчик,,,,,"ГРЧЦ, ФГУП",https://api.hh.ru/employers/30485,От 1 года до 3 лет,,,"Опыт работы в аналогичной должности от 1 года. Опыт работы с асинхронным Python 3.6-3.10, PostgreSQL, RabbitMQ. ","<highlighttext>Разработка</highlighttext> бекэнд для автоматизированных систем, направленных на мониторинг информационного пространства. Доработка и автоматизация уже существующих систем. Системы построены по принципу...",2026-04-17T13:38:12+0300,https://hh.ru/vacancy/132238152
132201064,Python developer,,,,,ИЦ АЙ-ТЕКО,https://api.hh.ru/employers/872178,От 3 до 6 лет,,,"Высшее образование, опыт 4+. Опыт: linux, bash, python, postgres, redis. А так же: Python 3.9+ (уверенное знание...","SQL (сложные запросы, агрегации, работа с большими таблицами). Работа с данными:",2026-04-16T13:00:20+0300,https://hh.ru/vacancy/132201064
132236150,Middle Python разработчик,,250000.0,RUR,250000.0,IMOT.IO,https://api.hh.ru/employers/10537564,От 3 до 6 лет,,,"...коммерческой разработки на Python 3 от 3-х лет, а также: Опыт работы с асинхронным кодом (asyncio). Опыт разработки на...","Тебе предстоит заниматься <highlighttext>разработкой</highlighttext> бизнес-логики сервиса по аналитике приемов врачей, интеграций со сторонними сервисами (МИС, CRM, АТС, мессенджеры и...",2026-04-17T12:54:38+0300,https://hh.ru/vacancy/132236150
132153593,Senior Backend Engineer (Python / Django),250000.0,350000.0,RUR,300000.0,ЭКСПОМАП,https://api.hh.ru/employers/135549,От 3 до 6 лет,,,"Опыт управления AI-агентами для разработки и использование ролей и контрактов. Опыт работы в проектах с широким технологическим стеком, где...","Проводить PR-review. Пополнять спецификации и рамки для <highlighttext>разработки</highlighttext> с помощью AI-агентов. Прямое влияние на продукт и архитектуру, возможность...",2026-04-18T10:16:46+0300,https://hh.ru/vacancy/132153593
131436064,Senior ML/CV/LLM инженер-программист (C++/Python/анализ CAD-данных),300000.0,350000.0,RUR,325000.0,Про.Потолок,https://api.hh.ru/employers/10251698,От 3 до 6 лет,,,"Оконченное высшее профильное образование или архитектурно-строительное (обязательно). Подтвержденный опыт разработки от 5 лет. Глубокое понимание паттернов проектирования, алгоритмов и...",Интеграция алгоритмов машинного обучения и компьютерного зрения для анализа инженерных чертежей. <highlighttext>Разработка</highlighttext> высокопроизводительных модулей на C++ с возможностью использования <highlighttext>Python</highlighttext>...,2026-04-18T09:49:13+0300,https://hh.ru/vacancy/131436064
